gene	expressed
BET1L	TRUE
RIC8A	TRUE
SIRT3	TRUE
PSMD13	TRUE
NLRP6	TRUE
PGGHG	TRUE
IFITM2	TRUE
IFITM1	TRUE
IFITM3	TRUE
PKP3	TRUE
ANO9	TRUE
PTDSS2	TRUE
RNH1	TRUE
HRAS	TRUE
LRRC56	TRUE
LMNTD2	TRUE
RASSF7	TRUE
MIR210HG	TRUE
LOC143666	TRUE
PHRF1	TRUE
IRF7	TRUE
TMEM80	TRUE
DEAF1	TRUE
EPS8L2	TRUE
TALDO1	TRUE
PDDC1	TRUE
LOC171391	TRUE
SLC25A22	TRUE
PANO1	TRUE
PIDD1	TRUE
RPLP2	TRUE
PNPLA2	TRUE
CRACR2B	TRUE
CD151	TRUE
POLR2L	TRUE
TSPAN4	TRUE
CHID1	TRUE
AP2A2	TRUE
MUC5B	TRUE
TOLLIP	TRUE
TOLLIP-AS1	TRUE
BRSK2	TRUE
KRTAP5-AS1	TRUE
CTSD	TRUE
TNNI2	TRUE
LINC01150	TRUE
TNNT3	TRUE
ASCL2	TRUE
C11orf21	TRUE
TSPAN32	TRUE
CD81	TRUE
CD81-AS1	TRUE
TSSC4	TRUE
KCNQ1OT1	TRUE
CDKN1C	TRUE
SLC22A18	TRUE
SLC22A18AS	TRUE
PHLDA2	TRUE
NAP1L4	TRUE
CARS	TRUE
OSBPL5	TRUE
MRGPRE	TRUE
ZNF195	TRUE
TSSC2	TRUE
TRPC2	TRUE
ART5	TRUE
ART1	TRUE
CHRNA10	TRUE
NUP98	TRUE
PGAP2	TRUE
RHOG	TRUE
STIM1	TRUE
RRM1	TRUE
LOC100506082	TRUE
TRIM21	TRUE
TRIM68	TRUE
OR51E1	TRUE
OR51T1	TRUE
OR52A5	TRUE
OR52A1	TRUE
OR52Z1	TRUE
OR51V1	TRUE
HBB	TRUE
HBD	TRUE
HBBP1	TRUE
BGLT3	TRUE
HBG1	TRUE
HBG2	TRUE
HBE1	TRUE
OR51B4	TRUE
OR51M1	TRUE
OR51J1	TRUE
OR51I1	TRUE
OR51I2	TRUE
OR52D1	TRUE
OR51B5	TRUE
UBQLN3	TRUE
OR52B6	TRUE
TRIM6	TRUE
TRIM6-TRIM34	TRUE
TRIM34	TRUE
TRIM5	TRUE
OR52N2	TRUE
FAM160A2	TRUE
CNGA4	TRUE
SMPD1	TRUE
APBB1	TRUE
HPX	TRUE
TRIM3	TRUE
TIMM10B	TRUE
ARFIP2	TRUE
DNHD1	TRUE
