chrom	chromStart	chromEnd	name	EffectSize	chrTSS	startTSS	endTSS	measuredGeneSymbol	Significant	pValueAdjusted	PowerAtEffectSize10	PowerAtEffectSize25	PowerAtEffectSize50	ValidConnection	CellType	Reference
chr1	3774714	3775214	CEP104|chr1:3691278-3691778	-0.293431866	chr1	3773797	3773797	CEP104	TRUE	0.004023984	NA	0.825093632	NA	TRUE	K562	Ulirsch2016
chr1	3774714	3775214	LRRC47|chr1:3691278-3691778	-0.331178093	chr1	3713068	3713068	LRRC47	TRUE	0.007771168	NA	0.608994236	NA	TRUE	K562	Ulirsch2016
chr1	3774714	3775214	SMIM1|chr1:3691278-3691778	-0.472019217	chr1	3689324	3689324	SMIM1	TRUE	6.41649e-4	NA	0.639332272	NA	TRUE	K562	Ulirsch2016
chr1	28884094	28884133	EPB41|chr1:29210606-29210645	-0.76	chr1	29213602	29213602	EPB41	TRUE	NA	NA	0.948724568	NA	TRUE	K562	Wakabayashi2016
chr1	28885079	28885118	EPB41|chr1:29211591-29211630	-0.66	chr1	29213602	29213602	EPB41	TRUE	NA	NA	0.999975075	NA	TRUE	K562	Wakabayashi2016
chr10	125816658	125816735	UROS|chr10:127505227-127505304	-0.85	chr10	127511837	127511837	UROS	TRUE	NA	NA	0.234322062	NA	TRUE	K562	Wakabayashi2016
chr11	3261795	3262295	HBE1|chr11:3283025-3283525	0.02924165	chr11	5291373	5291373	HBE1	FALSE	0.944568866097	NA	1	NA	TRUE	K562	Klann2017
chr11	3262515	3263015	HBE1|chr11:3283745-3284245	0.02429562	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.999999997901	NA	TRUE	K562	Klann2017
chr11	3307615	3308115	HBE1|chr11:3328845-3329345	0.01896726	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	1	NA	TRUE	K562	Klann2017
chr11	3324555	3325055	HBE1|chr11:3345785-3346285	0.03351329	chr11	5291373	5291373	HBE1	FALSE	0.967834268322	NA	1	NA	TRUE	K562	Klann2017
chr11	3339935	3340435	HBE1|chr11:3361165-3361665	0.03315553	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.999999879797	NA	TRUE	K562	Klann2017
chr11	3341195	3341715	HBE1|chr11:3362425-3362945	0.0496205	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999897849564	NA	TRUE	K562	Klann2017
chr11	3345635	3346135	HBE1|chr11:3366865-3367365	0.07522902	chr11	5291373	5291373	HBE1	FALSE	0.983456805451	NA	0.999998028858	NA	TRUE	K562	Klann2017
chr11	3378972	3379475	HBE1|chr11:3400202-3400705	0.02331639	chr11	5291373	5291373	HBE1	FALSE	0.982456342633	NA	0.992371339467	NA	PromoterElement	K562	Klann2017
chr11	3404095	3405035	HBE1|chr11:3425325-3426265	0.05967325	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.999278544596	NA	TRUE	K562	Klann2017
chr11	3408215	3409115	HBE1|chr11:3429445-3430345	-3.6393e-4	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.999671070349	NA	TRUE	K562	Klann2017
chr11	3416895	3417395	HBE1|chr11:3438125-3438625	0.05284707	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.822437537062	NA	TRUE	K562	Klann2017
chr11	3422455	3422955	HBE1|chr11:3443685-3444185	0.00525852	chr11	5291373	5291373	HBE1	FALSE	0.846461063242	NA	0.99999259346	NA	TRUE	K562	Klann2017
chr11	3505975	3506475	HBE1|chr11:3527205-3527705	0.06717458	chr11	5291373	5291373	HBE1	FALSE	0.989919227926	NA	0.905757930134	NA	TRUE	K562	Klann2017
chr11	3579575	3580075	HBE1|chr11:3600805-3601305	-0.0895843	chr11	5291373	5291373	HBE1	FALSE	0.435003559484	NA	0.974306828458	NA	TRUE	K562	Klann2017
chr11	3609575	3610115	HBE1|chr11:3630805-3631345	-0.02557413	chr11	5291373	5291373	HBE1	FALSE	0.466838498236	NA	0.999999700731	NA	TRUE	K562	Klann2017
chr11	3614155	3615035	HBE1|chr11:3635385-3636265	0.0052052	chr11	5291373	5291373	HBE1	FALSE	0.8773457711660001	NA	0.998678698395	NA	TRUE	K562	Klann2017
