chrPerturbationTarget	startPerturbationTarget	endPerturbationTarget	GeneSymbol	EffectSize	CellType	IncludeInModel	Significant	Regulated
chrX	48659028	48659074	GATA1	-0.33	K562	TRUE	TRUE	TRUE
chrX	48641372	48641493	HDAC6	-0.42	K562	TRUE	TRUE	TRUE
chrX	48659028	48659074	HDAC6	-0.22	K562	TRUE	TRUE	TRUE
chrX	48644930	48644969	HDAC6	0.47	K562	TRUE	TRUE	FALSE
chrX	48660375	48660526	GATA1	0.09	K562	TRUE	TRUE	FALSE
chrX	48797400	48798550	PIM2	-0.504190564	K562	TRUE	TRUE	TRUE
chrX	48798640	48799830	PIM2	-0.397882339	K562	TRUE	TRUE	TRUE
chrX	55054662	55054701	ALAS2	-0.93	K562	TRUE	TRUE	TRUE
chrX	46655945	46656445	HDAC6	0.012969657	K562	TRUE	FALSE	FALSE
chrX	46697525	46698025	HDAC6	-0.043922049	K562	TRUE	FALSE	FALSE
chrX	46773165	46773765	HDAC6	0.084226345	K562	TRUE	FALSE	FALSE
chrX	46824385	46824885	HDAC6	-0.035865204	K562	TRUE	FALSE	FALSE
chrX	46837945	46838445	HDAC6	-0.078093698	K562	TRUE	FALSE	FALSE
chrX	46870105	46870645	HDAC6	0.022354348	K562	TRUE	FALSE	FALSE
chrX	46889645	46890165	HDAC6	0.038643758	K562	TRUE	FALSE	FALSE
chrX	46907325	46907845	HDAC6	0.018265146	K562	TRUE	FALSE	FALSE
chrX	46918825	46919345	HDAC6	0.068818231	K562	TRUE	FALSE	FALSE
chrX	46936185	46936705	HDAC6	0.016378875	K562	TRUE	FALSE	FALSE
chrX	46952565	46953065	HDAC6	-0.037541919	K562	TRUE	FALSE	FALSE
chrX	46988405	46988905	HDAC6	-0.048598933	K562	TRUE	FALSE	FALSE
chrX	46994945	46995465	HDAC6	-0.05108606	K562	TRUE	FALSE	FALSE
chrX	47050785	47051285	HDAC6	0.000883931	K562	TRUE	FALSE	FALSE
chrX	47056545	47057085	HDAC6	0.002256833	K562	TRUE	FALSE	FALSE
chrX	47124105	47124625	HDAC6	0.081808771	K562	TRUE	FALSE	FALSE
chrX	47171685	47172205	HDAC6	-0.063189677	K562	TRUE	FALSE	FALSE
chrX	47180665	47181185	HDAC6	-0.008714458	K562	TRUE	FALSE	FALSE
chrX	47221385	47221925	HDAC6	-0.034641153	K562	TRUE	FALSE	FALSE
chrX	47225545	47226065	HDAC6	-0.005832454	K562	TRUE	FALSE	FALSE
chrX	47239665	47240165	HDAC6	-0.032992116	K562	TRUE	FALSE	FALSE
