chrTSS	startTSS	endTSS	GeneSymbol
chr8	182199	182199	ZNF596
chr8	182318	182318	RPL23AP53
chr8	356807	356807	FBXO25
chr8	681239	681239	ERICH1
chr8	1711500	1711500	LOC101927752
chr8	1711869	1711869	CLN8
chr8	1772141	1772141	ARHGEF10
chr8	1921511	1921511	LOC101928058
chr8	2585991	2585991	LOC101927815
chr8	6264069	6264069	LOC100287015
chr8	6264112	6264112	MCPH1
chr8	6565730	6565730	MCPH1-AS1
chr8	6565877	6565877	AGPAT5
chr8	8086091	8086091	FAM86B3P
chr8	8751131	8751131	MFHAS1
chr8	8860313	8860313	ERI1
chr8	9008220	9008220	PPP1R3B
chr8	9046508	9046508	LOC101929128
chr8	9413444	9413444	TNKS
chr8	10697409	10697409	PINX1
chr8	10697535	10697535	LOC101929229
chr8	10924599	10924599	LOC101929269
chr8	11141999	11141999	MTMR9
chr8	11197145	11197145	TDH
chr8	11627171	11627171	NEIL2
chr8	11660119	11660119	FDFT1
chr8	11725659	11725659	CTSB
chr8	12051624	12051624	FAM86B1
chr8	12612951	12612951	LONRF1
chr8	12990809	12990809	DLC1
chr8	15397595	15397595	TUSC3
chr8	17013835	17013835	ZDHHC2
chr8	17104400	17104400	VPS37A
chr8	17104418	17104418	CNOT7
chr8	17780365	17780365	PCM1
chr8	17942376	17942376	LOC101929066
chr8	17942507	17942507	ASAH1
chr8	18067611	18067611	NAT1
chr8	19674917	19674917	INTS10
chr8	19796581	19796581	LPL
chr8	20054703	20054703	ATP6V1B2
chr8	21771219	21771219	DOK2
chr8	21777179	21777179	XPO7
chr8	21882353	21882353	NPM2
chr8	21912327	21912327	DMTN
chr8	21946713	21946713	FAM160B2
chr8	21966932	21966932	NUDT18
chr8	21999464	21999464	REEP4
chr8	22022652	22022652	BMP1
chr8	22102618	22102618	POLR3D
chr8	22224761	22224761	SLC39A14
chr8	22298482	22298482	PPP3CC
chr8	22409250	22409250	SORBS3
chr8	22457113	22457113	C8orf58
chr8	22462538	22462538	CCAR2
chr8	22526661	22526661	BIN3
chr8	22925741	22925741	LOC286059
chr8	22926700	22926700	TNFRSF10B
chr8	22941867	22941867	LOC254896
chr8	23082680	23082680	TNFRSF10A
chr8	23082733	23082733	LOC389641
chr8	23101149	23101149	CHMP7
chr8	23145604	23145604	R3HCC1
chr8	23193720	23193720	LOC100507156
chr8	23261722	23261722	LOXL2
chr8	23315244	23315244	ENTPD4
chr8	23386307	23386307	SLC25A37
chr8	25282556	25282556	GNRH1
chr8	25315984	25315984	KCTD9
chr8	25316446	25316446	CDCA2
chr8	26149006	26149006	PPP2R2A
chr8	26240522	26240522	BNIP3L
chr8	27168836	27168836	TRIM35
chr8	27179918	27179918	PTK2B
chr8	27348518	27348518	EPHX2
chr8	27472328	27472328	CLU
chr8	27630170	27630170	CCDC25
chr8	27632057	27632057	ESCO2
chr8	27695612	27695612	PBK
chr8	27950583	27950583	ELP3
chr8	28243977	28243977	ZNF395
chr8	28558989	28558989	EXTL3
chr8	28747698	28747698	INTS9
chr8	28747886	28747886	HMBOX1
chr8	29120610	29120610	KIF13B
chr8	29940724	29940724	SARAF
chr8	29952921	29952921	LEPROTL1
chr8	30013812	30013812	DCTN6
chr8	30515758	30515758	GTF2E2
chr8	30585486	30585486	GSR
chr8	30601681	30601681	UBXN8
chr8	30670352	30670352	PPP2CB
chr8	30706533	30706533	TEX15
chr8	30890777	30890777	WRN
chr8	33330664	33330664	FUT10
chr8	33342684	33342684	MAK16
chr8	33370703	33370703	TTI2
chr8	34641438	34641438	LINC01288
chr8	37594096	37594096	ERLIN2
chr8	37594944	37594944	LOC102723701
chr8	37605564	37605564	LOC728024
chr8	37620100	37620100	PLPBP
chr8	37707431	37707431	BRF2
chr8	37757015	37757015	RAB11FIP1
chr8	37888019	37888019	EIF4EBP1
chr8	37963010	37963010	ASH2L
chr8	38008600	38008600	STAR
chr8	38034105	38034105	BAG4
chr8	38034248	38034248	LSM1
chr8	38089008	38089008	DDHD2
chr8	38239790	38239790	NSD3
chr8	38243958	38243958	LETM2
chr8	38644721	38644721	TACC1
chr8	38758752	38758752	PLEKHA2
chr8	38854041	38854041	TM2D2
chr8	38854504	38854504	ADAM9
chr8	41348080	41348080	GOLGA7
chr8	41386724	41386724	GINS4
chr8	41435706	41435706	GPAT4
chr8	41435887	41435887	LOC102723729
chr8	41655140	41655140	ANK1
chr8	41909267	41909267	LOC105379393
chr8	41909544	41909544	KAT6A
chr8	42010463	42010463	AP3M2
chr8	42065242	42065242	PLAT
chr8	42128479	42128479	LOC101929897
chr8	42128819	42128819	IKBKB
chr8	42195972	42195972	POLB
chr8	42249278	42249278	VDAC3
chr8	42396717	42396717	SMIM19
chr8	42397356	42397356	SLC20A2
chr8	42698474	42698474	THAP1
chr8	42751866	42751866	RNF170
chr8	42752032	42752032	HOOK3
chr8	42911441	42911441	FNTA
chr8	42948648	42948648	POMK
chr8	42995591	42995591	HGSNAT
chr8	48173469	48173469	SPIDR
chr8	48650726	48650726	CEBPD
chr8	48872743	48872743	PRKDC
chr8	48872762	48872762	MCM4
chr8	48920994	48920994	UBE2V2
chr8	49984899	49984899	C8orf22
chr8	52811746	52811746	PCMTD1
chr8	53627026	53627026	RB1CC1
chr8	54755871	54755871	ATP6V1H
chr8	54764367	54764367	RGS20
chr8	54935016	54935016	TCEA1
chr8	55014577	55014577	LYPLA1
chr8	55047780	55047780	MRPL15
chr8	56433537	56433537	LOC105375843
chr8	56685790	56685790	TGS1
chr8	56685966	56685966	TMEM68
chr8	56792385	56792385	LYN
chr8	56987140	56987140	RPS20
chr8	57123859	57123859	PLAG1
chr8	57124196	57124196	CHCHD7
chr8	57906430	57906430	IMPAD1
chr8	58256345	58256345	LOC101929488
chr8	59323822	59323822	UBXN2B
chr8	59465727	59465727	SDCBP
chr8	59572404	59572404	NSMAF
chr8	61193982	61193982	CA8
chr8	61326377	61326377	LINC01301
chr8	61429468	61429468	RAB2A
chr8	61591323	61591323	CHD7
chr8	61880307	61880307	LOC100130298
chr8	62602408	62602408	ASPH
chr8	63951610	63951610	GGH
chr8	64081001	64081001	YTHDF3-AS1
chr8	64081111	64081111	YTHDF3
chr8	66546452	66546452	ARMC1
chr8	66556887	66556887	MTFR1
chr8	66701329	66701329	PDE7A
chr8	67341212	67341212	RRS1-AS1
chr8	67341262	67341262	RRS1
chr8	67579452	67579452	VCPIP1
chr8	67579786	67579786	C8orf44
chr8	67687415	67687415	SGK3
chr8	67837777	67837777	SNHG6
chr8	67874825	67874825	TCF24
chr8	67974562	67974562	COPS5
chr8	67976602	67976602	CSPP1
chr8	68255912	68255912	ARFGEF1
chr8	68256068	68256068	LOC102724708
chr8	71316075	71316075	NCOA2
chr8	71520694	71520694	TRAM1
chr8	71520811	71520811	LACTB2-AS1
chr8	71581447	71581447	LACTB2
chr8	73921096	73921096	TERF1
